,STAID,STANAME,LAT_GAGE,LNG_GAGE,CLASS
0,9423350,CARUTHERS C NR IVANPAH CA,35.244989,-115.298876,Ref
1,10250800,DARWIN C NR DARWIN CA,36.320496,-117.523955,Non-ref
2,10251300,AMARGOSA RIVER AT TECOPA  CA,35.848577,-116.230024,Non-ref
3,10255700,SAN FELIPE C NR JULIAN CA,33.118654,-116.435293,Non-ref
4,10255800,COYOTE C NR BORREGO SPRINGS CA,33.373645,-116.427514,Ref
5,10255810,BORREGO PALM C NR BORREGO SPRINGS CA,33.278926,-116.430014,Ref
6,10255850,VALLECITO C NR JULIAN CA,32.986159,-116.420293,Ref
7,10256000,Whitewater River near Whitewater  California,33.946681,-116.640847,Non-ref
8,10256500,SNOW C NR WHITE WATER CA,33.870572,-116.681127,Non-ref
9,10257500,FALLS C NR WHITE WATER CA,33.869461,-116.671682,Non-ref
10,10257548,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989,-116.62113,Non-ref
11,10257550,WHITEWATER R A WINDY PT NR WHITEWATER CA,33.898905,-116.621126,Non-ref
12,10257600,MISSION C NR DESERT HOT SPRINGS CA,34.011123,-116.628069,Ref
13,10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,33.844184,-116.605293,Non-ref
14,10258000,TAHQUITZ C NR PALM SPRINGS CA,33.805019,-116.559182,Ref
15,10258500,PALM CYN C NR PALM SPRINGS CA,33.745022,-116.535571,Ref
16,10259000,ANDREAS C NR PALM SPRINGS CA,33.760021,-116.550015,Ref
17,10259100,WHITEWATER R A RANCHO MIRAGE CA,33.74947,-116.42279,Non-ref
18,10259200,DEEP C NR PALM DESERT CA,33.631136,-116.392234,Ref
19,10260470,LITTLE BEAR C AB LK ARROWHEAD A LAKE ARROWHEAD CA,34.248611,-117.2025,Non-ref
20,10260480,WILLOW C BL LK ARROWHEAD A LAKE ARROWHEAD CA,34.265,-117.185556,Non-ref
21,10260500,DEEP C NR HESPERIA CA,34.341114,-117.228376,Non-ref
22,10260865,GRASS VALLEY C BL GRASS VLY LK NR LK ARROWHEAD CA,34.263611,-117.218056,Non-ref
23,10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.338892,-117.257821,Non-ref
24,10261000,WF MOJAVE R NR HESPERIA CA,34.340836,-117.240876,Non-ref
25,10261100,MOJAVE R BL FORKS RES NR HESPERIA CA,34.345836,-117.238099,Non-ref
26,10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.573049,-117.320602,Non-ref
27,10263500,BIG ROCK C NR VALYERMO CA,34.420831,-117.839507,Ref
28,10264000,LITTLE ROCK C AB LTTLE ROCK RES NR LITTLEROCK CA,34.463884,-118.018958,Ref
29,10264600,OAK C NR MOJAVE CA,35.049969,-118.357859,Ref
30,10264750,PINE TREE C NR MOJAVE CA,35.230519,-118.086185,Ref
31,10265150,HOT C A FLUME NR MAMMOTH LAKES CA,37.668822,-118.817631,Non-ref
32,10270800,SF BISHOP C BL S LK NR BISHOP CA,37.176877,-118.563165,Non-ref
33,10270830,SF BISHOP C BL SF DIV DAM NR BISHOP CA,37.24076,-118.56539,Non-ref
34,10270872,MF BISHOP C BL LK SABRINA NR BISHOP CA,37.213822,-118.610389,Non-ref
35,10271210,BISHOP C BL PP NO 6 NR BISHOP CA (ACTUAL) CA,37.349652,-118.462335,Non-ref
36,10276000,BIG PINE C NR BIG PINE CA,37.144931,-118.31538,Non-ref
37,10277500,OWENS R NR BIG PINE CA,37.015211,-118.224543,Non-ref
38,10281800,INDEPENDENCE C BL PINYON C NR INDEPENDENCE CA,36.778544,-118.264541,Ref
39,10286000,COTTONWOOD C NR OLANCHA CA,36.438825,-118.080919,Non-ref
40,10286001,COTTONWOOD C NR OLANCHA CA.+ PH CA,36.438825,-118.080919,Non-ref
41,10287069,MILL C BL LUNDY LK NR LEE VINING CA,38.03298,-119.21654,Non-ref
